task_description,assigned_to,task_type,created_date,due_date,estimated_hours,completed,priority
Design homepage,Zara,Feature,2025-06-17,2025-06-22,11,False,High
Test payment flow,Sara,Documentation,2025-06-23,2025-06-27,4,True,High
Test payment flow,Zara,Documentation,2025-06-23,2025-06-25,11,False,High
Design homepage,Sara,Bug,2025-06-17,2025-06-27,1,False,Medium
Write test cases,Sara,Documentation,2025-06-25,2025-06-30,9,True,Low
Write test cases,Zara,Documentation,2025-06-17,2025-06-22,6,True,Low
Optimize database,Omar,Bug,2025-06-23,2025-06-25,10,False,High
Write API docs,Sara,Testing,2025-06-22,2025-06-29,4,True,Low
Implement search,Omar,Refactor,2025-06-20,2025-06-27,10,True,High
Refactor navbar,Sara,Bug,2025-06-26,2025-07-02,11,False,Low
Update dependencies,Ali,Refactor,2025-06-26,2025-06-27,11,True,Medium
Update dependencies,Omar,Bug,2025-06-26,2025-07-06,6,False,High
Optimize database,Ayesha,Feature,2025-06-27,2025-06-28,7,False,High
Optimize database,Zara,Testing,2025-06-23,2025-06-25,11,False,Low
Deploy app to server,Ayesha,Testing,2025-06-26,2025-06-29,10,True,Medium
Write test cases,Sara,Bug,2025-06-21,2025-06-27,7,True,Low
Clean up codebase,Hamza,Deployment,2025-06-25,2025-07-05,11,False,Low
Clean up codebase,Ali,Documentation,2025-06-20,2025-06-21,9,True,Medium
Update dependencies,Zara,Feature,2025-06-23,2025-06-27,12,True,High
Test payment flow,Omar,Deployment,2025-06-18,2025-06-19,6,False,High
Update dependencies,Sara,Feature,2025-06-19,2025-06-27,4,False,Medium
Fix backend bug,Zara,Bug,2025-06-20,2025-06-23,1,True,High
Refactor navbar,Ali,Documentation,2025-06-25,2025-06-27,10,True,High
Test payment flow,Zara,Bug,2025-06-22,2025-07-01,12,False,High
Deploy app to server,Hamza,Refactor,2025-06-18,2025-06-27,4,False,Medium
Fix backend bug,Hamza,Bug,2025-06-24,2025-06-30,3,True,High
Implement search,Zara,Bug,2025-06-24,2025-06-27,9,True,High
Design homepage,Sara,Deployment,2025-06-24,2025-06-30,12,True,High
Research OAuth,Sara,Deployment,2025-06-21,2025-06-26,6,False,High
Test payment flow,Hamza,Documentation,2025-06-21,2025-07-01,1,True,High
Clean up codebase,Zara,Feature,2025-06-27,2025-06-30,4,False,High
Clean up codebase,Zara,Testing,2025-06-22,2025-06-24,7,True,Medium
Design homepage,Hamza,Deployment,2025-06-25,2025-07-03,12,True,High
Clean up codebase,Ali,Testing,2025-06-20,2025-06-28,7,False,Low
Design homepage,Hamza,Feature,2025-06-22,2025-06-28,10,True,High
Fix backend bug,Zara,Documentation,2025-06-24,2025-07-02,9,False,High
Clean up codebase,Hamza,Testing,2025-06-21,2025-06-24,10,True,Medium
Write API docs,Hamza,Feature,2025-06-24,2025-06-27,11,False,Medium
Implement search,Omar,Bug,2025-06-22,2025-07-02,3,False,Low
Write API docs,Sara,Feature,2025-06-25,2025-06-26,12,True,Medium
Write API docs,Sara,Feature,2025-06-26,2025-07-03,7,False,High
Refactor navbar,Zara,Bug,2025-06-25,2025-07-05,7,False,Medium
Clean up codebase,Sara,Documentation,2025-06-17,2025-06-24,1,True,High
Optimize database,Sara,Feature,2025-06-24,2025-07-01,12,True,High
Fix backend bug,Sara,Refactor,2025-06-25,2025-07-05,1,True,Low
Test payment flow,Omar,Refactor,2025-06-23,2025-06-30,12,True,Medium
Write API docs,Zara,Feature,2025-06-26,2025-07-06,11,True,High
Deploy app to server,Ali,Documentation,2025-06-17,2025-06-21,10,True,Medium
Update dependencies,Hamza,Deployment,2025-06-24,2025-06-26,4,False,High
Implement search,Zara,Feature,2025-06-23,2025-06-28,2,True,Low
Deploy app to server,Zara,Feature,2025-06-25,2025-06-30,10,False,High
Deploy app to server,Ayesha,Documentation,2025-06-22,2025-06-26,4,False,High
Deploy app to server,Zara,Feature,2025-06-26,2025-07-04,6,False,Medium
Update dependencies,Sara,Feature,2025-06-22,2025-06-30,2,True,Medium
Fix backend bug,Zara,Testing,2025-06-20,2025-06-23,7,True,High
Implement search,Sara,Testing,2025-06-18,2025-06-25,4,True,Low
Test payment flow,Ayesha,Documentation,2025-06-20,2025-06-21,3,True,Low
Optimize database,Ali,Bug,2025-06-24,2025-06-27,2,False,High
Research OAuth,Omar,Testing,2025-06-22,2025-06-28,6,False,Medium
Write test cases,Zara,Deployment,2025-06-21,2025-06-30,3,True,High
Research OAuth,Hamza,Refactor,2025-06-27,2025-07-04,1,True,Low
Design homepage,Zara,Testing,2025-06-25,2025-07-05,6,False,High
Research OAuth,Ayesha,Refactor,2025-06-25,2025-06-29,2,False,Medium
Optimize database,Zara,Documentation,2025-06-24,2025-07-02,6,False,Low
Write API docs,Omar,Feature,2025-06-26,2025-07-04,11,False,High
Update dependencies,Zara,Bug,2025-06-20,2025-06-24,11,False,High
Clean up codebase,Ayesha,Refactor,2025-06-17,2025-06-23,8,False,High
Design homepage,Omar,Feature,2025-06-21,2025-07-01,1,False,Medium
Write test cases,Omar,Refactor,2025-06-27,2025-06-29,5,True,Medium
Clean up codebase,Omar,Feature,2025-06-17,2025-06-20,4,False,High
Test payment flow,Hamza,Documentation,2025-06-26,2025-06-30,3,True,Medium
Design homepage,Zara,Refactor,2025-06-27,2025-06-28,1,False,High
Refactor navbar,Omar,Documentation,2025-06-20,2025-06-24,7,True,High
Deploy app to server,Sara,Refactor,2025-06-24,2025-06-27,12,False,High
Optimize database,Sara,Documentation,2025-06-19,2025-06-28,7,True,Medium
Update dependencies,Omar,Documentation,2025-06-24,2025-06-28,10,True,High
Write test cases,Sara,Feature,2025-06-24,2025-07-04,10,False,High
Write test cases,Ali,Deployment,2025-06-20,2025-06-21,4,False,Medium
Implement search,Sara,Deployment,2025-06-25,2025-06-26,5,False,Medium
Write API docs,Zara,Deployment,2025-06-21,2025-06-29,2,True,High
Refactor navbar,Hamza,Bug,2025-06-21,2025-06-25,9,True,Medium
Test payment flow,Ayesha,Testing,2025-06-27,2025-06-29,11,False,High
Design homepage,Zara,Deployment,2025-06-23,2025-07-02,1,False,Low
Clean up codebase,Zara,Bug,2025-06-24,2025-07-04,9,True,High
Deploy app to server,Zara,Feature,2025-06-24,2025-06-29,10,False,Medium
Deploy app to server,Hamza,Refactor,2025-06-24,2025-06-25,6,True,High
Fix backend bug,Ali,Deployment,2025-06-20,2025-06-24,6,True,Medium
Research OAuth,Sara,Testing,2025-06-27,2025-07-06,5,False,Medium
Write API docs,Zara,Testing,2025-06-21,2025-06-26,12,True,High
Write API docs,Ayesha,Testing,2025-06-19,2025-06-26,11,False,High
Write test cases,Omar,Testing,2025-06-17,2025-06-25,5,False,High
Refactor navbar,Hamza,Feature,2025-06-18,2025-06-26,7,True,High
Implement search,Ayesha,Refactor,2025-06-26,2025-06-30,1,False,Low
Research OAuth,Omar,Bug,2025-06-19,2025-06-25,7,True,High
Implement search,Hamza,Deployment,2025-06-21,2025-06-27,2,False,Medium
Refactor navbar,Ayesha,Documentation,2025-06-19,2025-06-27,3,False,Low
Design homepage,Sara,Testing,2025-06-19,2025-06-28,3,False,Medium
Design homepage,Sara,Feature,2025-06-20,2025-06-30,8,False,Low
Implement search,Zara,Deployment,2025-06-21,2025-06-30,8,False,Low
Write test cases,Zara,Deployment,2025-06-21,2025-07-01,2,False,High
Refactor navbar,Hamza,Refactor,2025-06-23,2025-07-01,7,False,High
Update dependencies,Sara,Bug,2025-06-26,2025-06-29,2,True,High
Write API docs,Hamza,Testing,2025-06-26,2025-07-04,10,True,Medium
Refactor navbar,Zara,Testing,2025-06-23,2025-06-30,10,False,Medium
Clean up codebase,Ayesha,Deployment,2025-06-21,2025-06-28,11,False,High
Write test cases,Hamza,Bug,2025-06-23,2025-07-01,5,False,Low
Design homepage,Omar,Feature,2025-06-20,2025-06-21,2,True,Low
Refactor navbar,Sara,Bug,2025-06-17,2025-06-24,7,False,Medium
Test payment flow,Zara,Bug,2025-06-25,2025-07-01,8,True,Medium
Test payment flow,Ali,Feature,2025-06-21,2025-07-01,8,True,High
Update dependencies,Omar,Bug,2025-06-21,2025-06-25,8,False,High
Design homepage,Sara,Documentation,2025-06-18,2025-06-22,8,False,High
Fix backend bug,Zara,Refactor,2025-06-24,2025-06-30,2,False,Low
Clean up codebase,Omar,Documentation,2025-06-27,2025-07-05,1,False,Medium
Fix backend bug,Omar,Refactor,2025-06-19,2025-06-27,3,False,High
Fix backend bug,Ali,Deployment,2025-06-25,2025-07-05,1,True,High
Design homepage,Sara,Bug,2025-06-26,2025-07-03,5,True,Medium
Clean up codebase,Sara,Documentation,2025-06-25,2025-06-30,9,False,High
Write test cases,Omar,Testing,2025-06-19,2025-06-22,2,False,Low
Clean up codebase,Ayesha,Refactor,2025-06-24,2025-07-02,8,True,Medium
Refactor navbar,Ali,Testing,2025-06-27,2025-07-01,7,False,High
Research OAuth,Omar,Testing,2025-06-17,2025-06-20,10,True,High
Optimize database,Zara,Bug,2025-06-25,2025-06-26,11,False,High
Fix backend bug,Hamza,Deployment,2025-06-25,2025-07-05,7,False,Medium
Research OAuth,Ayesha,Feature,2025-06-22,2025-06-24,4,False,High
Clean up codebase,Omar,Deployment,2025-06-22,2025-06-27,10,True,Low
Refactor navbar,Ali,Testing,2025-06-24,2025-07-02,4,True,Medium
Fix backend bug,Ayesha,Documentation,2025-06-24,2025-07-01,10,False,High
Refactor navbar,Ayesha,Deployment,2025-06-25,2025-06-29,1,False,High
Fix backend bug,Ali,Testing,2025-06-19,2025-06-28,10,True,Low
Refactor navbar,Sara,Feature,2025-06-23,2025-06-26,11,False,Low
Update dependencies,Hamza,Documentation,2025-06-20,2025-06-25,11,True,High
Implement search,Ali,Feature,2025-06-23,2025-06-26,8,True,High
Clean up codebase,Ayesha,Deployment,2025-06-20,2025-06-26,10,True,High
Deploy app to server,Ayesha,Feature,2025-06-17,2025-06-21,10,True,Medium
Design homepage,Ayesha,Feature,2025-06-25,2025-06-29,11,False,High
Write API docs,Zara,Bug,2025-06-23,2025-06-28,1,False,Low
Implement search,Omar,Feature,2025-06-18,2025-06-26,8,False,Medium
Deploy app to server,Ali,Deployment,2025-06-23,2025-07-03,6,False,Medium
Implement search,Ayesha,Refactor,2025-06-27,2025-07-03,12,False,Low
Implement search,Sara,Refactor,2025-06-22,2025-06-30,9,True,High
Fix backend bug,Sara,Testing,2025-06-20,2025-06-28,5,False,High
Deploy app to server,Sara,Testing,2025-06-27,2025-06-29,12,True,Medium
Write test cases,Zara,Refactor,2025-06-19,2025-06-28,7,False,Medium
Refactor navbar,Hamza,Documentation,2025-06-24,2025-07-04,6,False,High
Deploy app to server,Omar,Feature,2025-06-26,2025-07-05,3,True,High
Write API docs,Zara,Documentation,2025-06-22,2025-06-30,9,False,Medium
Implement search,Omar,Feature,2025-06-26,2025-07-05,11,False,High
Design homepage,Zara,Testing,2025-06-21,2025-07-01,4,True,High
Optimize database,Omar,Documentation,2025-06-24,2025-06-27,2,False,High
Refactor navbar,Omar,Documentation,2025-06-21,2025-06-24,6,True,High
Research OAuth,Omar,Deployment,2025-06-25,2025-06-29,3,False,High
Write API docs,Hamza,Documentation,2025-06-17,2025-06-21,10,False,High
Fix backend bug,Omar,Bug,2025-06-19,2025-06-20,2,False,Medium
Implement search,Hamza,Deployment,2025-06-22,2025-06-29,11,True,High
Fix backend bug,Ali,Deployment,2025-06-23,2025-06-28,9,True,High
Design homepage,Hamza,Documentation,2025-06-24,2025-07-04,3,False,Low
Refactor navbar,Ayesha,Feature,2025-06-17,2025-06-22,12,True,Medium
Write API docs,Ayesha,Refactor,2025-06-24,2025-07-03,6,False,High
Deploy app to server,Hamza,Bug,2025-06-25,2025-06-27,3,True,Medium
Research OAuth,Sara,Testing,2025-06-17,2025-06-24,2,True,High
Write test cases,Zara,Feature,2025-06-22,2025-07-02,4,True,Medium
Write test cases,Ali,Bug,2025-06-20,2025-06-24,1,True,Low
Implement search,Ayesha,Testing,2025-06-18,2025-06-21,4,False,High
Update dependencies,Hamza,Bug,2025-06-27,2025-06-29,11,True,Low
Refactor navbar,Ali,Refactor,2025-06-24,2025-06-28,7,False,Medium
Refactor navbar,Omar,Refactor,2025-06-23,2025-07-01,2,True,Medium
Optimize database,Omar,Bug,2025-06-18,2025-06-19,6,True,Medium
Update dependencies,Sara,Feature,2025-06-25,2025-06-27,2,True,High
Implement search,Ali,Deployment,2025-06-21,2025-06-28,2,False,High
Implement search,Hamza,Testing,2025-06-21,2025-06-22,12,False,Low
Test payment flow,Zara,Refactor,2025-06-18,2025-06-20,6,False,Medium
Clean up codebase,Omar,Bug,2025-06-18,2025-06-23,4,False,Low
Write test cases,Zara,Documentation,2025-06-25,2025-06-28,4,True,High
Fix backend bug,Ayesha,Feature,2025-06-26,2025-06-27,8,True,High
Optimize database,Sara,Testing,2025-06-17,2025-06-26,12,False,Low
Optimize database,Ayesha,Bug,2025-06-25,2025-06-28,12,True,Medium
Test payment flow,Sara,Bug,2025-06-24,2025-07-01,3,False,Medium
Write test cases,Ayesha,Bug,2025-06-20,2025-06-25,3,True,High
Optimize database,Omar,Bug,2025-06-27,2025-06-28,2,False,High
Design homepage,Zara,Bug,2025-06-27,2025-07-03,3,False,High
Update dependencies,Sara,Feature,2025-06-26,2025-07-05,5,False,High
Deploy app to server,Ayesha,Refactor,2025-06-24,2025-06-29,8,True,High
Write test cases,Ali,Refactor,2025-06-19,2025-06-24,4,True,High
Optimize database,Zara,Testing,2025-06-25,2025-06-30,10,True,High
Write test cases,Ayesha,Refactor,2025-06-27,2025-06-30,4,False,High
Write API docs,Zara,Deployment,2025-06-19,2025-06-20,1,True,High
Write API docs,Ali,Feature,2025-06-20,2025-06-23,10,True,Medium
Deploy app to server,Ali,Refactor,2025-06-26,2025-07-04,4,False,High
Deploy app to server,Ali,Feature,2025-06-25,2025-06-26,10,False,Medium
Fix backend bug,Hamza,Deployment,2025-06-17,2025-06-24,7,True,High
Write test cases,Sara,Refactor,2025-06-22,2025-06-25,7,True,Medium
Clean up codebase,Omar,Documentation,2025-06-25,2025-06-27,12,False,High
Deploy app to server,Hamza,Feature,2025-06-19,2025-06-22,9,True,Low
Update dependencies,Hamza,Deployment,2025-06-25,2025-06-29,6,False,High
Update dependencies,Ali,Deployment,2025-06-17,2025-06-27,10,False,High
Write API docs,Ayesha,Documentation,2025-06-25,2025-07-03,5,False,Medium
Update dependencies,Hamza,Deployment,2025-06-27,2025-07-02,5,True,High
Fix backend bug,Ayesha,Feature,2025-06-25,2025-07-03,11,True,High
Write API docs,Ayesha,Deployment,2025-06-25,2025-07-01,12,False,High
Refactor navbar,Ali,Bug,2025-06-22,2025-06-30,5,True,Medium
Write API docs,Sara,Testing,2025-06-26,2025-07-06,4,True,Medium
Deploy app to server,Hamza,Bug,2025-06-22,2025-06-29,6,True,Low
Write API docs,Omar,Deployment,2025-06-19,2025-06-24,1,True,Low
Write test cases,Zara,Bug,2025-06-23,2025-06-29,3,True,Medium
Fix backend bug,Hamza,Testing,2025-06-18,2025-06-25,11,True,High
Update dependencies,Ayesha,Documentation,2025-06-23,2025-06-30,8,False,High
Test payment flow,Sara,Testing,2025-06-24,2025-07-02,7,False,Medium
Implement search,Omar,Documentation,2025-06-25,2025-07-02,3,True,High
Refactor navbar,Ayesha,Deployment,2025-06-23,2025-06-30,4,True,Medium
Test payment flow,Hamza,Refactor,2025-06-21,2025-07-01,6,True,High
Test payment flow,Ayesha,Documentation,2025-06-18,2025-06-19,1,False,High
Update dependencies,Sara,Bug,2025-06-22,2025-06-25,12,True,High
Deploy app to server,Ali,Feature,2025-06-20,2025-06-27,5,False,High
Refactor navbar,Omar,Testing,2025-06-23,2025-06-27,3,False,Medium
Test payment flow,Ayesha,Deployment,2025-06-25,2025-07-03,8,False,High
Deploy app to server,Ayesha,Testing,2025-06-26,2025-06-28,9,True,High
Fix backend bug,Hamza,Bug,2025-06-18,2025-06-23,6,False,Medium
Deploy app to server,Zara,Refactor,2025-06-23,2025-06-28,12,True,High
Fix backend bug,Ali,Deployment,2025-06-19,2025-06-27,5,False,Medium
Research OAuth,Ali,Testing,2025-06-18,2025-06-25,6,True,Medium
Optimize database,Ayesha,Deployment,2025-06-19,2025-06-25,9,False,Low
Test payment flow,Zara,Testing,2025-06-22,2025-06-27,1,False,Medium
Refactor navbar,Omar,Deployment,2025-06-18,2025-06-19,1,False,Medium
Update dependencies,Ayesha,Deployment,2025-06-27,2025-07-04,3,False,High
Implement search,Ali,Documentation,2025-06-17,2025-06-21,3,True,High
Update dependencies,Sara,Testing,2025-06-24,2025-06-25,11,True,High
Write test cases,Omar,Deployment,2025-06-27,2025-07-06,10,False,Low
Research OAuth,Zara,Documentation,2025-06-19,2025-06-28,6,True,Low
Write test cases,Omar,Feature,2025-06-27,2025-06-28,7,False,Low
Deploy app to server,Hamza,Bug,2025-06-23,2025-06-30,5,False,High
Design homepage,Ali,Bug,2025-06-20,2025-06-27,5,False,High
Refactor navbar,Zara,Feature,2025-06-25,2025-06-27,9,True,Medium
Write test cases,Omar,Deployment,2025-06-24,2025-06-27,3,False,High
Design homepage,Omar,Refactor,2025-06-19,2025-06-24,12,True,Medium
Implement search,Hamza,Deployment,2025-06-24,2025-06-25,4,True,High
Refactor navbar,Omar,Feature,2025-06-19,2025-06-22,7,False,Medium
Deploy app to server,Hamza,Feature,2025-06-25,2025-07-02,10,True,Medium
Design homepage,Hamza,Deployment,2025-06-26,2025-07-06,4,True,High
Optimize database,Ayesha,Feature,2025-06-18,2025-06-27,1,True,High
Test payment flow,Ali,Bug,2025-06-18,2025-06-20,6,False,Medium
Test payment flow,Sara,Documentation,2025-06-20,2025-06-29,8,False,Medium
Update dependencies,Sara,Bug,2025-06-25,2025-07-04,1,True,High
Refactor navbar,Ayesha,Deployment,2025-06-17,2025-06-19,7,False,High
Design homepage,Hamza,Feature,2025-06-19,2025-06-29,4,False,High
Optimize database,Ayesha,Documentation,2025-06-17,2025-06-22,4,False,Low
Research OAuth,Ali,Testing,2025-06-24,2025-07-04,6,True,Low
Write test cases,Omar,Bug,2025-06-19,2025-06-21,9,False,High
Design homepage,Zara,Testing,2025-06-17,2025-06-27,5,False,High
Write API docs,Sara,Bug,2025-06-23,2025-07-03,12,True,High
Design homepage,Sara,Refactor,2025-06-22,2025-06-26,4,False,High
Design homepage,Ali,Bug,2025-06-25,2025-07-05,3,True,Medium
Refactor navbar,Sara,Documentation,2025-06-19,2025-06-22,11,False,Low
Implement search,Hamza,Deployment,2025-06-22,2025-07-02,6,True,High
Design homepage,Ali,Testing,2025-06-24,2025-06-28,7,True,High
Update dependencies,Hamza,Refactor,2025-06-24,2025-06-25,8,True,Medium
Test payment flow,Ali,Feature,2025-06-21,2025-06-28,6,False,Low
Implement search,Ali,Bug,2025-06-25,2025-06-29,7,False,Low
Refactor navbar,Ayesha,Testing,2025-06-24,2025-07-02,11,True,High
Test payment flow,Zara,Testing,2025-06-19,2025-06-23,2,False,High
Implement search,Ayesha,Deployment,2025-06-25,2025-06-26,2,False,High
Fix backend bug,Ayesha,Feature,2025-06-27,2025-06-28,7,False,Medium
Clean up codebase,Hamza,Testing,2025-06-25,2025-06-26,1,False,High
Test payment flow,Ali,Deployment,2025-06-20,2025-06-30,10,True,High
Write test cases,Ali,Feature,2025-06-25,2025-06-27,3,False,Low
Write test cases,Hamza,Testing,2025-06-22,2025-07-02,1,False,Low
Deploy app to server,Omar,Bug,2025-06-19,2025-06-23,7,True,High
Optimize database,Hamza,Documentation,2025-06-26,2025-06-27,11,False,High
Design homepage,Ayesha,Bug,2025-06-24,2025-06-30,8,False,Low
Write test cases,Ayesha,Deployment,2025-06-25,2025-07-03,9,True,Low
Write test cases,Ayesha,Testing,2025-06-22,2025-06-26,2,False,Medium
Write test cases,Ayesha,Deployment,2025-06-22,2025-06-26,7,True,High
Update dependencies,Ayesha,Deployment,2025-06-17,2025-06-24,5,True,High
Optimize database,Zara,Refactor,2025-06-25,2025-06-29,12,False,High
Fix backend bug,Ayesha,Documentation,2025-06-25,2025-06-28,10,False,Medium
Design homepage,Hamza,Deployment,2025-06-23,2025-07-02,3,False,High
Fix backend bug,Ali,Bug,2025-06-26,2025-07-04,9,True,Medium
Research OAuth,Omar,Testing,2025-06-21,2025-06-27,2,True,Low
Write API docs,Sara,Refactor,2025-06-27,2025-06-30,8,False,High
Write API docs,Zara,Feature,2025-06-24,2025-06-30,5,False,Medium
